wikidata_code;birth;death;name;main_occ;citizenship;bplo1;dplo1;bpla1;dpla1
Q1102811;1889;1975;Clovis_Trouille;painter;France;2.297777891159058;2.351388931274414;49.89194488525391;48.8569450378418
Q110299;801;865;Ansgar;priest;Germany;2.297777891159058;8.80888843536377;49.89194488525391;53.07694625854492
Q11031;1848;1923;Vilfredo_Pareto;economist;Italy;2.351388931274414;6.199999809265137;48.8569450378418;46.34999847412109
Q1103308;1918;2012;Georges_Bellec;singer;France;-2.213888883590698;2.586666584014893;47.27361297607422;49.20722198486328
Q1103356;1961;;Sylvie_Andrieux;politician;France;5.376389026641846;;43.29666519165039;
Q110337;1765;1828;André_Honesta_Pierre_Van_Recum;hoher_beamter;Germany;8.168055534362793;7.866944313049316;49.56916809082031;49.84694290161133
Q11034256;1932;1994;Annette_Thommessen;activist;France;2.351388931274414;;48.8569450378418;
Q110355;1845;1917;Jules-Dominique_Antoine;politician;Germany;6.176944255828857;6.183610916137695;49.11972045898438;48.69277954101563
Q110363;1935;;Heinz_Wismann;philologist;Germany;13.38333320617676;;52.51666641235352;
Q110371;1675;1745;Francesco_Venturini;violin;Germany;4.351666450500488;9.738611221313477;50.8466682434082;52.37444305419922
Q110375;1764;1833;Jean-Charles_Krafft;architect;Austria;9.821944236755371;2.351388931274414;47.1533317565918;48.8569450378418
Q11038256;1654;1723;Josep_de_San_Benet;monasterio;France;4.42027759552002;1.837139010429382;49.6974983215332;41.59319305419922
Q1103909;1851;1889;Clément_Broutin;composer;France;3.244166612625122;;50.47472381591797;
Q1103916;1923;2011;Clément_Cailleau;priest;France;-.3666666746139526;2.353333234786987;47.11805725097656;48.76638793945313
Q1103931;1833;1909;Clément_Loret;organist;Belgium;4.099999904632568;2.268333435058594;51.01666641235352;48.91749954223633
Q1103944;1982;;Clément_Turpin;football;France;4.807499885559082;;45.71416854858398;
Q1103947;1986;;Clément_Lhotellerie;sport;France;4.719444274902344;;49.7599983215332;
Q1103950;1981;;Clémentine_Poidatz;actor;France;2.355555534362793;;48.83222198486328;
Q11043714;1894;1962;Francesco_Masini;lawyer;Malta;14.25;14.25833320617676;36.04999923706055;36.07194519042969
Q110462;1969;;Julie_Delpy;actor;France;2.326888799667358;;48.83302307128906;
Q11051532;1878;1956;Georges_Vuillermet;player;France;4.841388702392578;;45.75888824462891;
Q1105382;1969;;Coco_Mbassi;singer;Cameroon;12;;7;
Q1105498;1974;;Yamna_Oubouhou;runner;France;-6;;32;
Q110611;1848;1897;Édouard_Joseph_Dantan;painter;France;2.351388931274414;.1286111176013947;48.8569450378418;49.40083312988281
Q1106262;1530;1599;Francesco_Franceschi;editor;Italy;11.33138847351074;12.33194446563721;43.31833267211914;45.43972396850586
Q11065;1698;1758;Pierre_Bouguer;mathematician;France;-2.510555505752564;2.351388931274414;47.29305648803711;48.8569450378418
Q1106507;1951;;Philippe_Breton;anthropologist;France;2.639326095581055;;50.53094863891602;
Q1106563;1943;;Michèle_Reverdy;composer;France;29.89249992370606;;31.19750022888184;
Q1106625;1943;;François-Joël_Thiollier;pianist;France;2.351388931274414;;48.8569450378418;
Q1106713;1903;1999;Germaine_Dieterlen;essayist;France;3.641944408416748;2.351388931274414;44.08111190795898;48.8569450378418
Q1106890;1952;;Édouard_Fritch;politician;France;-149.5688934326172;;-17.53972244262695;
Q1107072;1793;1852;Matthieu_Bonafous;botanist;France;4.841388702392578;2.351388931274414;45.75888824462891;48.8569450378418
Q11075871;1945;;Vladimir_Hofmann;sculptor;France;2.351388931274414;;48.8569450378418;
Q11080085;1968;;Paxkal_Indo;singer;France;-1.659722208976746;;43.39027786254883;
Q1108068;1925;1971;François_Augiéras;writer;France;-77.61138916015625;.7180555462837219;43.16555404663086;45.18416595458984
Q1108099;1958;;Nicolas_Thévenin;priest;France;4.948888778686523;;48.63777923583984;
Q1108200;1906;1998;Colette_Darfeuil;actor;France;2.300291776657105;1.809166669845581;48.84132766723633;48.7772216796875
Q1108288;1660;1728;Filippo_Antonio_Gualterio_(cardinal);cardinal;Italy;13.71809959411621;12.48277759552002;43.16041946411133;41.8930549621582
Q1108317;1939;;Henri_Nallet;politician;France;.4819444417953491;;44.85111236572266;
Q1108323;1922;2012;José_Bénazéraf;film;France;-7.619999885559082;-6.150000095367432;33.59916687011719;36.41666793823242
Q1108325;1941;2010;Colin_François_Lloyd_Austin;historian;United_Kingdom;144.9630584716797;.1225000023841858;-37.81416702270508;52.20805740356445
Q1108330;1950;;Avi_Assouly;football;France;-.8816666603088379;;35.40750122070313;
Q1108449;1974;;Tomer_Sisley;actor;France;13.27999973297119;;52.5;
Q11084991;1805;1878;Emmanuel-Jean-François_Verrolles;bischof;France;5.438611030578613;;43.77333450317383;
Q1108623;1735;1813;Louis_Antoine_de_Poirot;jesuit;France;6.487222194671631;116.4075241088867;48.59999847412109;39.90402984619141
Q11087095;1592;1641;Jean_de_Courbes;engraver;France;2.351388931274414;-3.702500104904175;48.8569450378418;40.41666793823242
Q1108755;1991;;Sigrid_Agren;model;France;-61.10138702392578;;14.61611080169678;
Q1109027;1889;1946;Ludovic-Oscar_Frossard;politician;France;7.005833148956299;2.351388931274414;47.6341667175293;48.8569450378418
Q1109046;1943;;Luc_Merenda;actor;France;1.528611063957214;;48.64861297607422;
Q1109052;1978;;Julien_Sicot;swimmer;France;-61.06666564941406;;14.60000038146973;
Q1109569;1978;;Aymeric_Jeanneau;basket;France;-1.427777767181397;;46.66972351074219;
Q1109746;1984;;Julien_Humbert;football;France;6.176944255828857;;49.11972045898438;
Q1109978;1918;2006;André_Claisse;politician;France;2.351388931274414;4.078055381774902;48.8569450378418;48.29888916015625
Q11103473;1869;1959;Mary_Frances_Winston_Newson;mathematician;US;-89.58000183105469;-77.40830230712891;42.12580108642578;39.14059829711914
Q1110394;1963;;Louis_Winsberg;music;France;5.376389026641846;;43.29666519165039;
Q1110482;1944;;François_Thual;politician;France;2.326888799667358;;48.83302307128906;
Q1110497;1945;;Jean-François_Dubos;business;France;-.1163888871669769;;49.28833389282227;
Q11111144;1872;1950;Émile_Cotton;mathematician;France;5.228055477142334;5.726388931274414;46.2047233581543;45.18694305419922
Q1111455;1602;1643;Jean-Baptiste_Budes,_Comte_de_Guébriant;soldier;France;-2.731388807296753;8.624722480773926;48.39833450317383;48.16805648803711
Q1111475;1913;1995;François_Brousse;poet;France;2.89472222328186;2.261944532394409;42.6974983215332;48.80083465576172
Q11116510;1971;;Marisol_Aguirre;actress;Peru;2;;47;
Q11116711;1678;1709;Vittorio_Francesco_Stancari;mathematician;Italy;11.34277820587158;11.34277820587158;44.49388885498047;44.49388885498047
Q1111673;1920;2011;Princess_Antoinette,_Baroness_of_Massy;prince;France;2.276488780975342;7.410429954528809;48.86360931396484;43.72999954223633
Q1111938;1880;1953;Pierre_Martino;academic;France;3.086944341659546;2.290555477142334;45.77972412109375;48.77861022949219
Q1112115;1963;;Françoise_Bozon;skier;France;6.868888854980469;;45.92222213745117;
Q11121181;1905;1999;Francesc_Masclans;botanist;Spain;2.176944494247437;;41.38249969482422;
Q1112218;1973;;Florent_Laville;football;France;4.890833377838135;;44.93249893188477;
Q1112275;1905;1966;Paul_Le_Drogo;sport;France;-2.962777853012085;-2.76972222328186;48.06861114501953;47.5272216796875
